cell_id:ID(GridCell),city_id,population:float,type,type_source,green_cover_pct:float,elevation_m:float,dist_to_boundary_m:float,centroid_lat:float,centroid_lon:float
ghsl_5929_cell_04407,ghsl_5929,2518.340542078018,Industrial,land_use,10.8,19.4,5252.8,35.4215921674216,139.35815675033598
ghsl_5929_cell_04408,ghsl_5929,2124.3514536032453,Industrial,land_use,5.6,12.0,6277.9,35.4215921674216,139.36948530024864
ghsl_5929_cell_04409,ghsl_5929,4088.020909309387,Civic,land_use,18.6,17.2,7304.1,35.4215921674216,139.38081385016125
ghsl_5929_cell_04410,ghsl_5929,3672.5740924715064,Residential,land_use,28.8,16.2,8094.0,35.4215921674216,139.3921424000739
ghsl_5929_cell_04411,ghsl_5929,4276.898483127356,Residential,land_use,13.8,30.9,8893.4,35.42159216742159,139.4034709499865
ghsl_5929_cell_04412,ghsl_5929,2300.5174330230802,Industrial,land_use,25.3,15.9,9735.9,35.4215921674216,139.41479949989917
ghsl_5929_cell_04413,ghsl_5929,3059.4222170114517,Industrial,land_use,7.6,42.6,10611.3,35.4215921674216,139.4261280498118
ghsl_5929_cell_04414,ghsl_5929,2585.5924272947013,Residential,land_use,28.6,30.2,11512.0,35.4215921674216,139.43745659972444
ghsl_5929_cell_04415,ghsl_5929,4438.427724067122,Residential,land_use,9.3,44.7,12118.8,35.4215921674216,139.4487851496371
ghsl_5929_cell_04416,ghsl_5929,7146.926931500435,Civic,land_use,7.8,30.4,12119.2,35.4215921674216,139.46011369954974
ghsl_5929_cell_04417,ghsl_5929,6064.896526098251,Utility,land_use,19.5,43.8,12119.6,35.42159216742159,139.47144224946237
ghsl_5929_cell_04418,ghsl_5929,8053.278783559799,Commercial,land_use,13.2,40.7,12154.7,35.4215921674216,139.482770799375
ghsl_5929_cell_04419,ghsl_5929,8612.598502993584,Civic,land_use,16.3,42.9,12275.8,35.4215921674216,139.49409934928767
ghsl_5929_cell_04420,ghsl_5929,5966.180160522461,Civic,land_use,26.8,55.4,12480.9,35.4215921674216,139.50542789920033
ghsl_5929_cell_04421,ghsl_5929,10901.480067253113,Civic,land_use,4.8,44.6,12391.7,35.4215921674216,139.51675644911293
ghsl_5929_cell_04422,ghsl_5929,9826.850667953491,Industrial,land_use,4.9,49.3,11405.5,35.42159216742159,139.52808499902557
ghsl_5929_cell_04423,ghsl_5929,12796.834634780884,Residential,land_use,3.4,29.0,10427.6,35.4215921674216,139.53941354893823
ghsl_5929_cell_04424,ghsl_5929,10147.176692962646,Residential,land_use,1.7,20.7,9460.5,35.4215921674216,139.55074209885086
ghsl_5929_cell_04425,ghsl_5929,10782.147733688354,Industrial,land_use,6.8,53.3,8508.0,35.42159216742159,139.5620706487635
ghsl_5929_cell_04426,ghsl_5929,12286.312024354935,Civic,land_use,0.9,74.0,7575.5,35.4215921674216,139.57339919867613
ghsl_5929_cell_04427,ghsl_5929,12614.146172523499,Civic,land_use,4.8,47.2,6671.5,35.4215921674216,139.5847277485888
